country, party_long,party_engl, party_short, election, polidoc_exists, cmp_polidoc, popu_list, hcs18, leader
Netherlands, Socialistische Partij, Socialist Party (Netherlands), SP, 2010, 1, 22220.000.2010.1.1, 1, 0.2,
Netherlands, Socialistische Partij, Socialist Party (Netherlands), SP, 2012, 1, 22220.000.2012.1.1, 1, 0.2,
Netherlands, Socialistische Partij, Socialist Party (Netherlands), SP, 2017, 1, 22220.000.2017.1.1, 1, 0.2,
Netherlands, Pim Fortuyn List, Fortuyn List, LPF, 2006, 0,  22720.000.2006.1.1, 1, NA, 
Norway, Fremskrittspartiet, Progress Party (Norway), FrP, 2009, 1, 12951.000.2009.1.1, 1, 0,
Norway, Fremskrittspartiet, Progress Party (Norway), FrP, 2013, 1, 12951.000.2013.1.1, 1, 0,
Norway, Fremskrittspartiet, Progress Party (Norway), FrP, 2017, 1, 12951.000.2017.1.1, 1, 0,
Portugal, , , , , ,  , ,
Spain, Podemos, Podemos, Podemos, 2015, 1, 33210.000.2015.1.1, 1, NA, 
Spain, Podemos, Podemos, Podemos, 2016, 1, 33210.000.2016.1.1, 1, NA, 
Schweden, Sverigedemokraterna, Sweden Democrats, SD, 2006, 1, 11710.000.2006.1.1, 1, 0.1,
Schweden, Sverigedemokraterna, Sweden Democrats, SD, 2010, 1, 11710.000.2010.1.1, 1, 0.1,
Schweden, Sverigedemokraterna, Sweden Democrats, SD, 2014, 1, 11710.000.2014.1.1, 1, 0.1,
Schweden, Sverigedemokraterna, Sweden Democrats, SD, 2018, 1, 11710.000.2018.1.1, 1, 0.1,
Switzerland, Schweizerische Volkspartei, Swiss People's Party, SVP, 2007, 1, 43810.000.2007.1.1, 1, 1,
Switzerland, Schweizerische Volkspartei, Swiss People's Party, SVP, 2011, 1, 43810.000.2011.1.1, 1, 1,
Switzerland, Schweizerische Volkspartei, Swiss People's Party, SVP, 2015, 1, 43810.000.2015.1.1, 1, 1,
Switzerland, Schweizerische Volkspartei, Swiss People's Party, SVP, 2018, 0, 43810.000.2018.1.1, 1, 1,
United Kingdom, United Kingdom Independence Party, United Kingdom Independence Party, UKIP, 2010, 1, 51951.000.2010.1.1, 1, 0.15,
United Kingdom, United Kingdom Independence Party, United Kingdom Independence Party, UKIP, 2015, 1, 51951.000.2015.1.1, 1, 0.15,
United Kingdom, United Kingdom Independence Party, United Kingdom Independence Party, UKIP, 2017, 1, 51951.000.2017.1.1, 1, 0.15,
